Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_01_1976.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_02_1977.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_03_1978.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_04_1979.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_05_1980.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_06_1981.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_07_1982.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_08_1983.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_09_1984.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_10_1985.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_11_1986.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_12_1987.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_13_1988.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_14_1989.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_15_1990.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_16_1991.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_17_1992.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_18_1993.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_19_2003.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_20_2004.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_21_2005.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_22_2006.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_23_2007.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_24_2008.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_25_1950.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_26_1951.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_27_1952.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_28_1953.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_29_1954.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_30_1955.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_31_1956.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_32_1957.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_33_1958.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_34_1959.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_35_1960.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_36_1961.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_37_1962.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_38_1963.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_39_1964.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_40_1965.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_41_1966.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_42_1967.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_43_1968.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_44_1969.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_45_1970.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_46_1971.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_47_1972.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_48_1973.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_49_1974.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_50_1975.d
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51																												49740.3																						
A0A0J9YX35	A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D																							2278.46							13123.1																				
A0A5B0	A0A5B0	TVB14_HUMAN	TRBV14	T cell receptor beta variable 14	5748.05	7388.76	5912.92	4461.15	6433		4868.43	6152.27			6539.31	4241.78				4215.03			3843.65							3933.42	4899.95	8133.6	5473.48	9953.67	4465.42	4801.97		9705.17			7131.57	5148.52	6568.05		8139.26	8571.35	5244.71	8297.69	6661.98	4865.91		5094.14	6293.52	3182.29
A0AV96	A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	3955.96	5090.34	2658.47	2587.64	2525.84	1876.75	2426.03	1574.55	3390.6	1364.84	2837.53	3860.74	2356.14	5829.19	3760.14	2255.08	3510.47	2069.27	3690.99	1716.56	2975.94	3166.64	2866.69	2816.54	2021.87	1973.41	3274.93	2356.54	2306.54	2209.52	2153.16	3403.95	6601.96	2568.51	2833.6	3684.5	2501.71	3506.27	1883.14	2809.79	1653.06	3100.3	1931.13	1987.54	2688.18	2971.74	3239.19	2327	1744.57	1488.11
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	42944.5	46951.1	32119.9	43563.8	35004	39166.3	42407	31142.1	47519.2	29060.6	43363.9	38083.9	29197	30465.4	37166.2	37464.7	46381.5	39012.8	36186	39361.8	41186	28590.9	42868.1	37109.1	41799.3	31253.1	44217.2	30940.1	41412	35207	32290.6	20184.6	33541.8	51340.1	44530.1	24725.6	52898.4	38406.3	41333	47082.2	38883.7	40345.8	39602.1	41838.5	39906.3	36234.1	40653.7	48460.9	39760.9	32578.5
A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	9424.07	10199.9	8937.01	7995.64	9473.16	8434.18	6899.99	10483.3	8536.27	7253.67	14024.7	9164.29	9885.52	16449.5	12561.5	11317.1	11534.4	8630.23	9768.61	10259.9	9306.52	12308.7	10911.5	11346.7	13195.6	8446.83	14588.5	9874.27	14891.3	13994.8	9445.83	14742.7	10746.4	12080.6	12826.5	14246.5	9946.12	10788.2	10526.5	11779.5	9776.81	9545.55	11065.4	12991.5	10671.1	10714.4	16935.4	14365.3	16999	11534.4
A0JLT2	A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19	2078.61	1443.23	1939.63	1708.15	1721	2927.52	2160.59	2935.6	2820.61	3336.57	2967.97	1674.63	1284.99	1309.88	1221.02	2296.32	1778.23	1552.3						2032.53	1389.23	2655.22	2521.1	2373.63	1880.63	3090.1	2961.92	3944.91	2565.4	2160.28	2532.42		2998.2	2578.36	1766.04	1619.52	2415.75	1992.1	1635.49	943.7	1676.35	2913.11	2329.89	2220.24	2761.4	1855.98
A0JNW5	A0JNW5	UH1BL_HUMAN	UHRF1BP1L	UHRF1-binding protein 1-like	454.546	3624.17	812.818	776.551		899.287		593.6	1034.52	681.855	645.735	842.159	929.897		1066.6	501.258	1023.44	511.983	410.291	1326.39				610.182	707.427	438.078	772.111	1160.57	752.695		703.389	511.261	630.24	872.446	1089.26	2219.93	1021.36	768.815	496.611	1044.47	987.479	398.366	535.23	777.071	946.353	639.199	1001.45	917.147	773.947	876.033
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	1522.96	2970.5	2170.62	1420.08	1966.89	3333.29	1490.14	1534.68	2220.41	1274.42	4101.23	927.048	3423.98		348.999	2978.68	930.301	2012.18	2251.07	2907.68	1536.27	4541.34	3987.02	4327.72	1338.25	1456	1594.69		1295.13	3824.64	4882.09	666.324	4821.27	3031.65	1853.45	1380.36	4023.62	1643.61	1671.44		1268.44	1796.21	1121.42	2721.19	3234.19	1911.51	1273.68	2289.03	1445.77	741.326
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223			1144.47				2145.99	2241.31	2027.88								1186.53		1215.07	2800.32				2649.24			1396.92		859.281	2545.14			975.346	1286.22		2889.34	945.962	1164.59	715.813	1404.33			813.851		1449.25	979.065		1137.96		1201.37
A1A4S6	A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10						1593.72										2879.76		1212.88	1408.24						2601.89						1600.04			2188.97				1541.34	1770.65	1269.89			2106.14					1070		
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	6479.26	6371.17	5716.76	5393.9	6480.54	5510.45	5830.8	7683.41	4859.18	7203.08	8439.19	6152.68	6372.86	7516.99	5945.78	6123.64	8116.47	7403.6	5326.37	4453.35	6279.44	6684.42	8757.53	6366.2	6483.08	7162.14	6135.82	6067.42	6040.08	5806.37	8002.68	9151.79	7833.21	7128.54	9862.49	10421.9	9637.61	7870.48	7060.34	5784.76	7860.87	6166.14	7049.62	8265.88	5797	7804.15	7372.39	5997.65	6015.71	5808.61
A1L188	A1L188	NDUF8_HUMAN	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8			4327.67	1778.62		1267.35	3375.07	3845.8	2213.79	4391.72	1910.53	1629.02	1699.54	1811.49			3113.68			1946.16	2199.71	2197.58		2711.3	3415.39	3360.04	3504.77	2228.28	2580.91	2735.63	2227.07	1739.12	3968.94	4409.24	3633.66	6041.43	1911.37	2211.89	3331.99	2533.4	2411.66	3717.67	2342.91	2389.14	1715.87	3287.92	3712.36	3758.89	2900.33	2838.49
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326	A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326	GAG13_HUMAN;GAG2E_HUMAN;GAGE1_HUMAN;GAGE4_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE4;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E										10201.6																																								
A2A288	A2A288	ZC12D_HUMAN	ZC3H12D	Probable ribonuclease ZC3H12D	2148.6	3385.44	4738.93	3750.6	4097.91	2704.96	3650.48	4826.5	3455.83	3405.1	6928.26	2451.41	3380.12	4865.66	3749.5	3080.77	5747.13	3421.32	4444.55	8820.02	2095.93	3942.44	4258.13	3900.6	3834.4	5478.9	3150.46	3584.72	3085.76	3839.17	3535.27	3376.7	3701.51	4066.53	6164.36	1918.62	5523.91	2502.03	5128.3	4981.08	3276.03	3895.29	3265.04	3824.06	1976.7	4297.51	4243.78	4132.34	7443.54	4494.06
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	4753.71	8494.08	7862.14	7991.78	8019.58	6763.15	8617.24	8160.85	8446.2	8513.32	9398.59	7383.31	6633.08	5540.18	8736.05	7727.93	8033.86	8126.9	4932.06	7069.95	9033.67	6885.37	6811.97	5560.24	8352.02	6465.58	7965.35	8158.32	8096.45	7126.11	8238.95	6642.32	7000.88	7578.91	9715.17	10862.2	8091.92	8444.37	8024.3	7272.43	7649.97	7389.49	6402.48	8498.23	6996.41	9614.01	6591.87	8382.92	6195.18	9028.27
A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	5221.4	6733.7	4793.08	4098.79	6817.81	7054.04	5873.45	8689.92	5163.56	4424.59	4358.03	7064.13	6999.52	5131.08	5431.5	5655.35	6092.61	5155.97	6597.39	4047.98	5265.07	5413.4	3977.4	4530.1	5489.36	6412.68	6766.88	7419.33	6946.86	5836.55	4024.72	4071.14	6990.05	5432.61	5340.61	1999.77	5706.55	6882.57	6246.39	5976.71	6193.11	4420.79	6704.72	4582.9	6790.47	6669.45	4706.78	5451.31	7788.16	8454.61
A2RU30	A2RU30	TESP1_HUMAN	TESPA1	Protein TESPA1	684.195	765.732	974.309	1056.1	687.199	871.943	920.437	1194.24	879.286	1002.89	897.473	977.484	730.54	858.403	676.119	763.307	902.987	1496.41	797.861		1169.47			993.804	792.083	668.872	906.612	1167.06	952.86	596.149	1114.02	1601.74	473.72	339.136	1412.66	983.978	1009.93	2516.3	1247.61	728.673	1087.56	857.907	1136.43	1120.48	827.375	1257.01	1182.38	878.556	1059.86	1750.27
A2VDJ0	A2VDJ0	T131L_HUMAN	TMEM131L	Transmembrane protein 131-like	6234.08	1519.12	6808.62	7023.85	7305.26	6786.64	5418.35	8816.04	7369.82	4456.98	7310.81	4641.79	6541.5	6320.51	8395.25	7420.93	4995.65	7100.66	10522.5		5201.49	4975.83		13666.8	6564.21	7268.02	8643.68	8073.49	5322.48	6847.36	6772.98	12281.4	7019.26	6002.17	6348.1	9421.72	9885.28	7247.5	9313.27	6308.59	8535.66	9070.83	8658.49	7887.18	7062.44	9142.1	8980.28	7756	10719.4	6346.34
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	7244.46	6601.18	11933.3	8604.83	9883.01	9482.29	6422.99	13231	11388.8	15132.3	9931.64	12640.9	7083.17	12808.2	14147	7929.07	10092.5	7393.97	7003.66	9335.25	11399.2	5945.15	9285.47	8218.45	8863.05	9600.61	7161.81	7405.66	3792.51	6937.12	8704.66	9209.22	14218.2	9355.44	10389.4	20273.9	8293.99	6965.05	12621.2	8362.97	8723.47	12926.9	6892.02	11058	5565.74	9282.75	10194.2	5297.7	7991.55	10549.1
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	8817.73	5969.96	7883.28	9483.62	6306.63	7769.77	6589.13	7663.52	8122.21	6209.75	7442.88	8679.22	7476.6	8373.04	8018.09	8418.91	8966.07	8502.25	9157.27	7680.36	9080.98	8070.64	7766.86	8419.83	7865.82	8285.16	8092.42	7090.26	7727.63	6950.93	5832.94	8048.26	6463.32	6043.92	7728.69	4372.54	7707.8	7394.81	8397.37	7198.46	7594.98	8126.12	6619.15	7835.32	6763.38	6916.37	9055.36	7132.58	7603.03	5649.29
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	2286.25	1509.02	1552.05	1607.25	2279.26	1651.3	2111.16	2814.96	4447.32	3468.93	2500.29	2878.16	2499.83	2377.53	3560.86	3208.29	3949.07	2383.97	2203.05	2132.61	2542.06	2773.89	3022.22	3743.66	2192.12	2868.61	2539.15	1856.44	2062.84	3606.39	1944.22	4161.86	2625.88	2099.33	3091.28	6659.11	3619.85	2555.25	2835.95	3357.07	2486.55	2631.56	3501.27	2656.25	3149.33	2531.93	2574.81	1434.01	2296.6	2108.97
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	19572.4	25305.5	22727.5	26439.4	18625.4	20321	26090.3	26008.2	27820.3	18242.8	24732.2	19065.2	33446.3	20569.9	19932	22647.3	17718.5	22090	21013.4	27215.5	18498.4	20456.7	16975.9	17985.9	35300.4	26117.7	30054.4	35822.4	29885	19819.8	24436.2	24268.3	39291.1	17340.1	21758.4	17278.6	18975.2	24376.3	28301.5	27482.6	17688	24634.3	25599.7	27112.6	21273.2	26578.6	29754.2	28234.8	20305.8	21732.5
A4D1U4	A4D1U4	DEN11_HUMAN	DENND11	DENN domain-containing protein 11	2976.15	3101.18	2581.85	3735.92	2262.66	3769.93	2825.92	3431.38	4191.33	3863.85	3736.75	3256.96	3259.02	3571.9	2468.87	3619.08	3641.95	3999.18	4272.79	5523.04	4339.74	4163.58	3737.4	3362.76	3032.68	4162.6	3574.22	3321.33	2719	2922.61	3008.25	3721.84	2828.01	2849.41	3384.97	3104.85	2382.13	3298.33	2990.53	3934.07	3147.9	2594.85	4243.13	4115.47	3602.91	2969.53	3092.31	3430.39	3462.47	3494.79
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	3476.96	2664.47	5401.4	5271	4153.69	5164.99	5117.58	5574.04	7123.17	3948.81	6711.68	3786.49	4386.03	4129.06	4203.06	4668.75	6000.03	4491.81	4898.58	6234.67	4971.08	5485.91	6482.98	5322.3	5437.55	4379.65	4669.54	4489.3	5353.07	5283.83	5871.37	5473.2	6627.37	4975.95	5406.4	2629.27	6582.71	4716.5	5109.75	5943.74	4986.16	5572.67	6091.51	4855.23	5385.65	5720.88	4978.76	5890.56	4093.62	4540
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	16359.2	14566.1	13873.5	19322.7	14154.7	16684.3	16563.6	15323.9	17177.2	16099.4	17257.4	15831.2	14878.8	13689.3	15707	15491.6	18913.4	16209.2	14163.5	16118.7	14848.6	15009.1	15519.1	14026.9	16320.9	15164.8	19594.7	15117.8	18663.3	15162.6	16533.4	16012.7	15974.9	16940.1	20195.6	13789.4	18244.4	16847.5	17706.7	17406.6	15836.2	14860.9	17028.7	17855.6	15891	20487	18217.5	18280.4	18970.1	16991.1
A5YM72	A5YM72	CRNS1_HUMAN	CARNS1	Carnosine synthase 1			1856.17			2122.24		2032.74	2364.96		2618.46	1295.88				1421.49	2175.92	1025.36	2212.06	6343.82		1205.98	2662.38		1015.47	1827.23	964.305	1991	1160.51		3435.76			3430.73	2458.25		2268.86	1827.85	407.938			3447.75		942.105			2179.43		1181.93	
A6H8Y1	A6H8Y1	BDP1_HUMAN	BDP1	Transcription factor TFIIIB component B'' homolog		1133.03	926.459	696.445		450.645	529.22						375.199	294.819	1066.79	443.441		328.241				769.462	1231.93		159.264	582.238	365.814		438.888		599.148	1109.96	768.283		526.487			1303.83	812.628				654.951	818.14	974.868	1185.27		550.438		190.686
A6NC98	A6NC98	CC88B_HUMAN	CCDC88B	Coiled-coil domain-containing protein 88B	2100.73	6286.05	5830.98	6795.47	5954.97	6387.85	6637.68	5148.08	8625.5	8488.12	5886.85	5064.73	8716.06	3752.52	8522.62	6715.79	6746.2	7481.93	2051.47	6315.58	5013.13	9128.99	7623.4	6232.4	6338.03	5842.9	8911.59	5719.21	7189.98	12360.4	7861.66	6847.69	6412.66	6889.05	8549.23	5101.11	8686.12	4490.65	7823.04	9577.39	7844.63	6845.36	6405.12	9998.61	8086.86	10447.1	6444.25	9796.79	9220.31	5006.48
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8;Q9H492	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2502.84	1625.87	2123.5	1704.49	1481.64	1413.16	1386.99	1804.17	1188.03	2045.06	1431.08	1182.29	970.942	1221.38	1817.51	1033.02	1135.96	1664.88	1588.7		1860.84	2729.47		1206.14	911.332	1358.06	2416.31	1907.1	1818.22		1147.22	1642.95	911.939	1226.39	1122.73	805.263		2662.72	1453.46	1340.78	1057.27	1592.53	1757.76	953.5	964.102	1638.28	1229.79	1273.76	680.424	1615.82
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	14089	17718.6	19303.9	15351.4	14935.9	17106.4	11169.2	12911.8	15027.7	12272.1	22829.5	13012.6	13778.7	12448.2	14756	16301.9	17342	14129.5	9992.78	16955	9590.41	12467.6	19600.5	18862.5	21123.5	10274.4	15325.8	13832	15726.4	21536.1	12872.1	9013.34	13893	20507	17476	12773.4	17526.1	12333.1	18296.6	20209.3	25228	18105	11694.8	18925.6	16842.7	11905	16415.4	15851.3	19060	8610.23
A6NDU8	A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	3770.43	4412.01	2524.15	2661.08	2324.65	3318.09	2525.88	2380.26	2519.43		1965.35	2050.87	3943.43	5275.02	4212.8	4375.79	2408.19	2895.68	2936.24		2576.3	3341.92	2045.62	2852.44	2763.26	4509.49	2962.28	2410.91	2942.8	4667.18	2258.96	1481.5	2135.47	2804.81	2064.7	6432.74	2292.36	3494.13	2651.48	2841.7	1920.01	2122.06	2697.16	3629.34	3008.36	4130.16	2723.43	2896.46	3612.39	4267.55
